Simulation status;Solvent;Solvent temperature (K);Solvent pressure (bar);Reflux ratio col 1 (mole basis);Reflux ratio col 2 (mole basis);Solvent flowrate (kmol/hr);Mixture pressure (bar);Mixture temperature (K);Distillate rate col 1 (kmol/hr);Distillate rate col 2 (kmol/hr);Methanol purity (mole basis);Condensor 01 duty (kJ/hr);Condensor 02 duty (kJ/hr)
Warnings;DMSO;303.15;1;0.25;0.75;720;2;303.15;200;200;0.649752984;-7459523.56;-11688983.2
Warnings;DMSO;303.15;1;0.25;0.75;720;2;303.15;200;400;0.674691871;-7459512.07;-28980439.4
Warnings;DMSO;303.15;1;0.25;0.75;720;2;303.15;400;200;0.700333327;-15768826.5;-15779827.4
Warnings;DMSO;303.15;1;0.25;0.75;720;2;303.15;400;400;0.350166448;-15768781.4;-35180532.6
Warnings;DMSO;303.15;1;0.25;0.75;720;2;313.15;200;200;0.649630195;-7459680.41;-11688719.9
Warnings;DMSO;303.15;1;0.25;0.75;720;2;313.15;200;400;0.674629174;-7459674.73;-28980344
Warnings;DMSO;303.15;1;0.25;0.75;720;2;313.15;400;200;0.700332373;-15768799.5;-15779830
Warnings;DMSO;303.15;1;0.25;0.75;720;2;313.15;400;400;0.350166045;-15768769.7;-35180537
Warnings;DMSO;303.15;1;0.25;0.75;720;2;323.15;200;200;0.649428159;-7459947.55;-11688286.6
Warnings;DMSO;303.15;1;0.25;0.75;720;2;323.15;200;400;0.67452676;-7459935.82;-28980189.3
Warnings;DMSO;303.15;1;0.25;0.75;720;2;323.15;400;200;0.700331604;-15768804.1;-15779830.7
Warnings;DMSO;303.15;1;0.25;0.75;720;2;323.15;400;400;0.350165621;-15768765.1;-35180541.7
Warnings;DMSO;303.15;1;0.25;0.75;720;3;303.15;200;200;0.649752359;-7459522.93;-11688981.9
Warnings;DMSO;303.15;1;0.25;0.75;720;3;303.15;200;400;0.674691684;-7459515.8;-28980439.2
Warnings;DMSO;303.15;1;0.25;0.75;720;3;303.15;400;200;0.700333349;-15768829;-15779827.2
Warnings;DMSO;303.15;1;0.25;0.75;720;3;303.15;400;400;0.350166535;-15768800.5;-35180532.2
Warnings;DMSO;303.15;1;0.25;0.75;720;3;313.15;200;200;0.649630206;-7459680.32;-11688719.9
Warnings;DMSO;303.15;1;0.25;0.75;720;3;313.15;200;400;0.674628314;-7459677.56;-28980343.5
Warnings;DMSO;303.15;1;0.25;0.75;720;3;313.15;400;200;0.70033248;-15768811.6;-15779829.2
Warnings;DMSO;303.15;1;0.25;0.75;720;3;313.15;400;400;0.350166082;-15768777.9;-35180536.8
Warnings;DMSO;303.15;1;0.25;0.75;720;3;323.15;200;200;0.649428183;-7459947.64;-11688286.6
Warnings;DMSO;303.15;1;0.25;0.75;720;3;323.15;200;400;0.674528966;-7459938.6;-28980191.3
Warnings;DMSO;303.15;1;0.25;0.75;720;3;323.15;400;200;0.700331587;-15768801.8;-15779830.8
Warnings;DMSO;303.15;1;0.25;0.75;720;3;323.15;400;400;0.350165634;-15768767.8;-35180541.7
Warnings;DMSO;303.15;1;0.25;0.75;830;1;303.15;200;200;0.650440081;-7458993.41;-11690454.4
Warnings;DMSO;303.15;1;0.25;0.75;830;1;303.15;200;400;0.674967561;-7458980.18;-28980824
Warnings;DMSO;303.15;1;0.25;0.75;830;1;303.15;400;200;0.700358964;-15771259.2;-15779665.7
Warnings;DMSO;303.15;1;0.25;0.75;830;1;303.15;400;400;0.350179333;-15771222.8;-35180449.7
Warnings;DMSO;303.15;1;0.25;0.75;830;1;313.15;200;200;0.650436874;-7459000.45;-11690447.5
Warnings;DMSO;303.15;1;0.25;0.75;830;1;313.15;200;400;0.674965859;-7458990.43;-28980820.5
Warnings;DMSO;303.15;1;0.25;0.75;830;1;313.15;400;200;0.700358418;-15771255.4;-15779666.5
Warnings;DMSO;303.15;1;0.25;0.75;830;1;313.15;400;400;0.350179081;-15771224.3;-35180452.7
Warnings;DMSO;303.15;1;0.25;0.75;830;1;323.15;200;200;0.650432925;-7458999.81;-11690439.1
Warnings;DMSO;303.15;1;0.25;0.75;830;1;323.15;200;400;0.674963806;-7458997.51;-28980817.1
Warnings;DMSO;303.15;1;0.25;0.75;830;1;323.15;400;200;0.700357857;-15771259.1;-15779666.9
Warnings;DMSO;303.15;1;0.25;0.75;830;1;323.15;400;400;0.350178757;-15771217.8;-35180456.3
Warnings;DMSO;303.15;1;0.25;0.75;830;2;303.15;200;200;0.650440332;-7458994.49;-11690455
Warnings;DMSO;303.15;1;0.25;0.75;830;2;303.15;200;400;0.67496752;-7458999.23;-28980821
Warnings;DMSO;303.15;1;0.25;0.75;830;2;303.15;400;200;0.700358961;-15771258.9;-15779665.7
Warnings;DMSO;303.15;1;0.25;0.75;830;2;303.15;400;400;0.350179333;-15771222.8;-35180449.7
Warnings;DMSO;303.15;1;0.25;0.75;830;2;313.15;200;200;0.650436874;-7459000.45;-11690447.5
Warnings;DMSO;303.15;1;0.25;0.75;830;2;313.15;200;400;0.674965859;-7458990.43;-28980820.5
Warnings;DMSO;303.15;1;0.25;0.75;830;2;313.15;400;200;0.700358418;-15771255.4;-15779666.5
Warnings;DMSO;303.15;1;0.25;0.75;830;2;313.15;400;400;0.350179081;-15771224.3;-35180452.7
Warnings;DMSO;303.15;1;0.25;0.75;830;2;323.15;200;200;0.650432925;-7458999.81;-11690439.1
Warnings;DMSO;303.15;1;0.25;0.75;830;2;323.15;200;400;0.674963806;-7458997.51;-28980817.1
Warnings;DMSO;303.15;1;0.25;0.75;830;2;323.15;400;200;0.700357857;-15771259.1;-15779666.9
Warnings;DMSO;303.15;1;0.25;0.75;830;2;323.15;400;400;0.350178757;-15771217.8;-35180456.3
Warnings;DMSO;303.15;1;0.25;0.75;830;3;303.15;200;200;0.650440332;-7458994.49;-11690455
Warnings;DMSO;303.15;1;0.25;0.75;830;3;303.15;200;400;0.67496752;-7458999.22;-28980821
Warnings;DMSO;303.15;1;0.25;0.75;830;3;303.15;400;200;0.700358961;-15771258.9;-15779665.7
Warnings;DMSO;303.15;1;0.25;0.75;830;3;303.15;400;400;0.350179333;-15771222.8;-35180449.7
Warnings;DMSO;303.15;1;0.25;0.75;830;3;313.15;200;200;0.650436874;-7459000.45;-11690447.5
Warnings;DMSO;303.15;1;0.25;0.75;830;3;313.15;200;400;0.674965859;-7458990.43;-28980820.5
Warnings;DMSO;303.15;1;0.25;0.75;830;3;313.15;400;200;0.700358418;-15771255.4;-15779666.5
Warnings;DMSO;303.15;1;0.25;0.75;830;3;313.15;400;400;0.350179081;-15771224.3;-35180452.7
Warnings;DMSO;303.15;1;0.25;0.75;830;3;323.15;200;200;0.650432925;-7458999.81;-11690439.1
Warnings;DMSO;303.15;1;0.25;0.75;830;3;323.15;200;400;0.674963806;-7458997.51;-28980817.1
Warnings;DMSO;303.15;1;0.25;0.75;830;3;323.15;400;200;0.700357857;-15771259.1;-15779666.9
Warnings;DMSO;303.15;1;0.25;0.75;830;3;323.15;400;400;0.350178757;-15771217.8;-35180456.3
Warnings;DMSO;303.15;1;0.25;1.25;600;1;303.15;200;200;0.609700981;-7509865.99;-14918053.4
Warnings;DMSO;303.15;1;0.25;1.25;600;1;303.15;200;400;0.654846169;-7509908.98;-37220330
Warnings;DMSO;303.15;1;0.25;1.25;600;1;303.15;400;200;0.700294638;-15765271.4;-20288658.8
Warnings;DMSO;303.15;1;0.25;1.25;600;1;303.15;400;400;0.35014716;-15765230.9;-45232276.9
Warnings;DMSO;303.15;1;0.25;1.25;600;1;313.15;200;200;0.607265707;-7512996.51;-14911319
Warnings;DMSO;303.15;1;0.25;1.25;600;1;313.15;200;400;0.65362047;-7512995.31;-37217751.2
Warnings;DMSO;303.15;1;0.25;1.25;600;1;313.15;400;200;0.700293639;-15765277.7;-20288660.1
Warnings;DMSO;303.15;1;0.25;1.25;600;1;313.15;400;400;0.350146626;-15765228.3;-45232284.7
Warnings;DMSO;303.15;1;0.25;1.25;600;1;323.15;200;200;0.60458618;-7516445.56;-14903909.9
Warnings;DMSO;303.15;1;0.25;1.25;600;1;323.15;200;400;0.652275794;-7516402.91;-37214910.7
Warnings;DMSO;303.15;1;0.25;1.25;600;1;323.15;400;200;0.700292341;-15765268.7;-20288662.9
Warnings;DMSO;303.15;1;0.25;1.25;600;1;323.15;400;400;0.350146018;-15765227.2;-45232293.7
Warnings;DMSO;303.15;1;0.25;1.25;600;2;303.15;200;200;0.609726585;-7509904.89;-14918123.5
Warnings;DMSO;303.15;1;0.25;1.25;600;2;303.15;200;400;0.654846686;-7509920.61;-37220331.3
Warnings;DMSO;303.15;1;0.25;1.25;600;2;303.15;400;200;0.700294638;-15765271.4;-20288658.8
Warnings;DMSO;303.15;1;0.25;1.25;600;2;303.15;400;400;0.35014716;-15765230.9;-45232276.9
Warnings;DMSO;303.15;1;0.25;1.25;600;2;313.15;200;200;0.607265706;-7512996.52;-14911319
Warnings;DMSO;303.15;1;0.25;1.25;600;2;313.15;200;400;0.65362047;-7512995.31;-37217751.2
