"T DMSO","P DMSO","T MIX","P MIX","RR1","RR2","PURITY","SIMRES"
"310","1.5","320","1","1.25","0.5","0.995748492","Warnings"
"310","1.5","320","1","1.25","0.75","0.995747349","Warnings"
"310","1.5","320","1","1.25","1","0.995747452","Warnings"
"310","1.5","320","1","1.25","1.25","0.995747446","Warnings"
"310","1.5","320","1.5","0.5","0.5","0.951583017","Warnings"
"310","1.5","320","1.5","0.5","0.75","0.951559991","Warnings"
"310","1.5","320","1.5","0.5","1","0.95155747","Warnings"
"310","1.5","320","1.5","0.5","1.25","0.951557363","Warnings"
"310","1.5","320","1.5","0.75","0.5","0.985659913","Warnings"
"310","1.5","320","1.5","0.75","0.75","0.985640633","Warnings"
"310","1.5","320","1.5","0.75","1","0.985638812","Warnings"
"310","1.5","320","1.5","0.75","1.25","0.985642385","Warnings"
"310","1.5","320","1.5","1","0.5","0.99499702","Warnings"
"310","1.5","320","1.5","1","0.75","0.994995896","Warnings"
"310","1.5","320","1.5","1","1","0.994995781","Warnings"
"310","1.5","320","1.5","1","1.25","0.994995774","Warnings"
"310","1.5","320","1.5","1.25","0.5","0.995748492","Warnings"
"310","1.5","320","1.5","1.25","0.75","0.995747349","Warnings"
"310","1.5","320","1.5","1.25","1","0.995747452","Warnings"
"310","1.5","320","1.5","1.25","1.25","0.995747446","Warnings"
"310","1.5","320","2","0.5","0.5","0.951583017","OK"
"310","1.5","320","2","0.5","0.75","0.951559991","OK"
"310","1.5","320","2","0.5","1","0.95155747","OK"
"310","1.5","320","2","0.5","1.25","0.951557363","OK"
"310","1.5","320","2","0.75","0.5","0.985659913","OK"
"310","1.5","320","2","0.75","0.75","0.985640633","OK"
"310","1.5","320","2","0.75","1","0.985638812","OK"
"310","1.5","320","2","0.75","1.25","0.985642385","OK"
"310","1.5","320","2","1","0.5","0.99499702","OK"
"310","1.5","320","2","1","0.75","0.994995896","OK"
"310","1.5","320","2","1","1","0.994995781","OK"
"310","1.5","320","2","1","1.25","0.994995774","OK"
"310","1.5","320","2","1.25","0.5","0.995748492","OK"
"310","1.5","320","2","1.25","0.75","0.995747349","OK"
"310","1.5","320","2","1.25","1","0.995747452","OK"
"310","1.5","320","2","1.25","1.25","0.995747446","OK"
"310","1.5","320","2.5","0.5","0.5","0.951583017","OK"
"310","1.5","320","2.5","0.5","0.75","0.951559991","OK"
"310","1.5","320","2.5","0.5","1","0.95155747","OK"
"310","1.5","320","2.5","0.5","1.25","0.951557363","OK"
"310","1.5","320","2.5","0.75","0.5","0.985659913","OK"
"310","1.5","320","2.5","0.75","0.75","0.985640633","OK"
"310","1.5","320","2.5","0.75","1","0.985638812","OK"
"310","1.5","320","2.5","0.75","1.25","0.985642385","OK"
"310","1.5","320","2.5","1","0.5","0.99499702","OK"
"310","1.5","320","2.5","1","0.75","0.994995896","OK"
"310","1.5","320","2.5","1","1","0.994995781","OK"
"310","1.5","320","2.5","1","1.25","0.994995774","OK"
"310","1.5","320","2.5","1.25","0.5","0.995748492","OK"
"310","1.5","320","2.5","1.25","0.75","0.995747349","OK"
"310","1.5","320","2.5","1.25","1","0.995747452","OK"
"310","1.5","320","2.5","1.25","1.25","0.995747446","OK"
"310","1.5","325","1","0.5","0.5","0.950119483","Warnings"
"310","1.5","325","1","0.5","0.75","0.950132712","Warnings"
"310","1.5","325","1","0.5","1","0.950131225","Warnings"
"310","1.5","325","1","0.5","1.25","0.950129631","Warnings"
"310","1.5","325","1","0.75","0.5","0.984649085","Warnings"
